CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Avg_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
719563158,48,M,2,High School,Married,$40K - $60K,Blue,36,6,3,2,4207.0,1921,2286.0,0.766,3850,75,0.562,0.457,Continuing
715360458,45,F,3,Graduate,Divorced,Less than $40K,Blue,36,2,3,2,12406.0,1980,10426.0,0.791,8113,90,0.5,0.16,Continuing
716961933,43,F,2,Graduate,Married,Less than $40K,Blue,36,5,2,4,3589.0,1808,1781.0,0.75,4262,70,0.667,0.504,Continuing
714502458,49,M,3,Graduate,Married,$60K - $80K,Blue,36,6,2,4,17811.0,643,17168.0,0.842,3748,79,0.646,0.036,Continuing
772390908,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3,3616.0,1054,2562.0,0.616,687,17,0.545,0.291,Leaving
710978058,50,F,0,Uneducated,Single,$40K - $60K,Blue,41,6,2,3,7507.0,1697,5810.0,1.098,4651,71,1.029,0.226,Continuing
756658083,49,M,4,Post-Graduate,Single,$80K - $120K,Blue,42,3,2,1,30885.0,2018,28867.0,0.904,17350,115,0.62,0.065,Continuing
716717733,55,F,3,Uneducated,Single,Less than $40K,Blue,47,2,5,4,4841.0,859,3982.0,1.003,8918,87,0.977,0.177,Leaving
715996983,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,5,2,2,17682.0,2481,15201.0,1.302,1747,31,1.214,0.14,Continuing
721295658,62,M,1,Graduate,Single,$80K - $120K,Blue,55,6,1,4,34516.0,2517,31999.0,0.945,3975,63,0.537,0.073,Continuing
815510883,36,M,2,Post-Graduate,Single,$40K - $60K,Blue,31,3,2,5,11862.0,2282,9580.0,0.837,2576,74,0.85,0.192,Continuing
709879458,54,F,3,Doctorate,Married,Less than $40K,Blue,46,2,2,3,1900.0,1376,524.0,0.89,1881,45,0.607,0.724,Continuing
718872858,43,F,2,High School,Married,Less than $40K,Blue,36,5,1,3,3761.0,2121,1640.0,0.694,4476,79,0.927,0.564,Continuing
789043008,55,F,2,Post-Graduate,Divorced,Less than $40K,Blue,43,4,2,4,9919.0,0,9919.0,0.496,2058,70,0.842,0.0,Continuing
714972558,37,F,2,Graduate,Single,Less than $40K,Blue,36,2,3,0,1610.0,0,1610.0,0.889,2729,45,0.406,0.0,Leaving
720482583,52,F,1,College,Married,Less than $40K,Blue,43,3,3,1,10431.0,2163,8268.0,0.64,4598,69,0.865,0.207,Continuing
720155583,55,F,2,Graduate,Single,Less than $40K,Blue,39,3,2,3,2426.0,1589,837.0,0.87,5175,82,0.822,0.655,Continuing
715739733,34,M,1,High School,Single,$40K - $60K,Blue,25,4,1,2,1793.0,1141,652.0,0.715,5293,88,0.76,0.636,Continuing
793616883,39,F,5,Graduate,Single,Less than $40K,Blue,33,5,2,2,1438.3,668,770.3,0.931,5205,78,0.773,0.464,Continuing
779625858,37,F,2,Graduate,Single,Less than $40K,Blue,27,6,1,3,3061.0,2517,544.0,0.809,5032,89,0.618,0.822,Continuing
716247708,51,M,4,College,Single,$120K +,Gold,33,2,2,2,34516.0,1848,32668.0,0.775,14149,103,0.689,0.054,Continuing
711398433,38,M,0,High School,Married,$60K - $80K,Blue,31,4,3,3,16565.0,1200,15365.0,0.68,16736,99,0.8,0.072,Continuing
823629333,42,M,4,Uneducated,Married,$40K - $60K,Blue,38,1,4,1,2444.0,0,2444.0,0.788,4220,50,1.174,0.0,Continuing
719180958,48,F,2,Uneducated,Divorced,$40K - $60K,Silver,39,2,2,2,21754.0,0,21754.0,0.83,9105,104,0.763,0.0,Continuing
714252933,52,F,2,College,Divorced,Less than $40K,Blue,45,4,2,3,1438.3,0,1438.3,0.744,4737,80,0.818,0.0,Continuing
713563383,50,F,3,Graduate,Single,Less than $40K,Blue,36,1,3,3,1930.0,952,978.0,0.67,3862,80,0.818,0.493,Continuing
807226683,48,M,3,Graduate,Single,$40K - $60K,Blue,43,6,1,3,5279.0,1115,4164.0,0.549,1642,41,0.519,0.211,Continuing
709080783,56,F,1,Graduate,Single,Less than $40K,Blue,38,4,1,3,1737.0,0,1737.0,0.953,4723,78,0.625,0.0,Continuing
710656683,50,F,3,High School,Single,Less than $40K,Blue,36,4,3,1,1986.0,1614,372.0,0.554,4442,64,0.73,0.813,Continuing
816613158,48,F,1,Doctorate,Married,Less than $40K,Blue,43,2,3,1,2559.0,1514,1045.0,0.57,4117,69,0.643,0.592,Continuing
720695583,65,M,1,Graduate,Single,Less than $40K,Blue,53,6,2,3,10775.0,1787,8988.0,0.648,3432,70,0.75,0.166,Continuing
714179658,43,M,3,High School,Single,$120K +,Blue,36,3,1,3,34516.0,0,34516.0,0.852,1996,48,0.548,0.0,Continuing
788734158,42,M,4,Graduate,Married,$40K - $60K,Blue,19,5,3,2,8374.0,0,8374.0,0.885,4493,59,1.034,0.0,Continuing
794571108,39,M,2,Graduate,Divorced,$40K - $60K,Silver,23,5,2,3,17894.0,304,17590.0,0.965,4691,63,0.465,0.017,Leaving
711245433,50,F,4,Graduate,Single,Less than $40K,Blue,41,5,3,3,2509.0,0,2509.0,0.702,2281,41,0.367,0.0,Leaving
709224033,53,M,4,Uneducated,Single,$60K - $80K,Blue,43,1,3,2,13720.0,0,13720.0,0.671,1830,36,0.241,0.0,Leaving
812801958,55,F,1,Graduate,Married,Less than $40K,Blue,50,5,3,4,3566.0,1401,2165.0,0.903,2425,54,0.8,0.393,Continuing
715287708,41,F,4,Graduate,Married,$40K - $60K,Blue,33,6,3,2,6230.0,1173,5057.0,0.607,3769,77,0.54,0.188,Continuing
710349258,45,F,3,High School,Single,Less than $40K,Blue,36,3,2,2,2589.0,2052,537.0,0.636,4133,68,0.789,0.793,Continuing
771862308,50,M,1,College,Single,$80K - $120K,Blue,39,4,3,2,5856.0,2007,3849.0,0.727,4916,87,0.642,0.343,Continuing
714144258,43,F,3,Graduate,Married,Less than $40K,Blue,34,6,2,1,2725.0,2517,208.0,0.482,4430,66,0.692,0.924,Continuing
710752233,43,F,5,High School,Unknown,$40K - $60K,Blue,24,3,2,2,4430.0,2203,2227.0,1.046,2742,49,0.4,0.497,Leaving
755420433,59,F,1,Graduate,Married,Less than $40K,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,Continuing
710793783,53,F,3,Graduate,Married,Less than $40K,Blue,40,6,3,1,12059.0,1978,10081.0,0.877,1836,36,0.895,0.164,Continuing
710699283,46,M,2,Graduate,Single,$120K +,Blue,28,1,1,1,7790.0,1921,5869.0,0.789,14567,131,0.617,0.247,Continuing
789678483,50,F,2,High School,Married,Less than $40K,Silver,37,1,3,2,13384.0,0,13384.0,0.696,4773,77,0.674,0.0,Continuing
710644158,45,M,3,Graduate,Unknown,$80K - $120K,Blue,28,5,3,1,31743.0,1332,30411.0,0.665,4293,73,0.622,0.042,Continuing
713289183,53,F,3,Doctorate,Married,Less than $40K,Blue,33,6,2,1,2255.0,1647,608.0,0.848,4270,76,0.767,0.73,Continuing
710445183,44,M,5,Doctorate,Single,$120K +,Blue,31,5,1,2,7567.0,2496,5071.0,0.709,4076,60,0.579,0.33,Continuing
716670783,52,F,3,Doctorate,Single,Less than $40K,Blue,36,3,2,1,24703.0,1085,23618.0,0.998,4776,63,0.575,0.044,Continuing
708319908,37,M,3,Graduate,Single,$80K - $120K,Blue,17,1,1,2,4116.0,1473,2643.0,1.023,8667,70,0.892,0.358,Leaving
714847983,48,M,3,Graduate,Single,$80K - $120K,Blue,36,3,4,2,2713.0,2201,512.0,0.716,4220,79,0.612,0.811,Continuing
794818833,36,F,1,Uneducated,Single,Less than $40K,Blue,30,6,1,2,5494.0,2078,3416.0,0.79,2661,58,0.871,0.378,Continuing
718220358,58,M,1,Graduate,Single,$120K +,Blue,36,2,3,4,28618.0,0,28618.0,0.685,1712,41,0.414,0.0,Leaving
715220508,31,F,0,High School,Married,Less than $40K,Blue,22,4,2,1,3273.0,2517,756.0,1.465,2726,57,0.727,0.769,Continuing
711794358,61,M,0,College,Single,$80K - $120K,Blue,50,2,4,3,21398.0,0,21398.0,0.695,3119,53,0.767,0.0,Leaving
809311758,40,M,3,Graduate,Single,$60K - $80K,Silver,35,6,3,2,25219.0,1503,23716.0,0.944,4429,87,0.642,0.06,Continuing
715609533,47,F,3,Graduate,Single,Less than $40K,Blue,35,1,3,3,5398.0,0,5398.0,0.621,1887,36,0.333,0.0,Leaving
713542908,31,M,2,Graduate,Single,Less than $40K,Blue,19,1,2,3,5871.0,1829,4042.0,0.81,15645,117,0.746,0.312,Continuing
719059083,45,F,3,High School,Unknown,Less than $40K,Blue,33,5,1,1,6225.0,1596,4629.0,0.826,4129,71,0.651,0.256,Continuing
802449933,29,M,1,Uneducated,Married,$40K - $60K,Blue,23,1,3,1,8147.0,1750,6397.0,0.751,14912,114,0.869,0.215,Continuing
711298458,39,F,3,Graduate,Married,Less than $40K,Blue,26,5,2,5,2190.0,0,2190.0,0.691,2338,40,0.6,0.0,Leaving
709780158,52,F,1,Graduate,Single,Less than $40K,Blue,35,4,4,2,2411.0,1379,1032.0,0.869,4812,79,0.717,0.572,Continuing
715212108,41,F,2,College,Married,Less than $40K,Blue,36,5,5,1,1438.3,0,1438.3,0.686,4565,84,0.714,0.0,Continuing
715076358,57,M,1,Post-Graduate,Unknown,$80K - $120K,Blue,36,4,3,3,23714.0,0,23714.0,0.981,8463,62,0.824,0.0,Leaving
720228708,56,M,2,High School,Married,$120K +,Blue,46,4,1,3,27029.0,1347,25682.0,0.381,1302,27,0.421,0.05,Continuing
713685033,44,F,2,Graduate,Married,Less than $40K,Blue,33,3,2,2,2417.0,0,2417.0,0.389,1848,38,0.407,0.0,Leaving
709214358,39,F,3,Graduate,Divorced,Less than $40K,Blue,30,3,3,2,2420.0,1422,998.0,0.731,1362,24,0.714,0.588,Continuing
789469083,55,M,2,Graduate,Single,$80K - $120K,Blue,46,2,1,1,10795.0,0,10795.0,0.855,7855,81,0.528,0.0,Continuing
789575583,43,F,2,Uneducated,Unknown,Less than $40K,Blue,36,5,1,0,6931.0,1380,5551.0,0.795,4437,64,0.882,0.199,Continuing
771408483,48,M,5,Graduate,Unknown,$60K - $80K,Blue,36,4,1,2,4100.0,1956,2144.0,0.617,3584,61,0.743,0.477,Continuing
714831033,54,M,5,Graduate,Married,$80K - $120K,Blue,47,4,1,3,6065.0,1728,4337.0,0.417,1114,27,0.688,0.285,Continuing
718038483,42,M,3,Uneducated,Single,$80K - $120K,Blue,35,5,1,4,16054.0,0,16054.0,0.446,3449,75,0.705,0.0,Continuing
712575708,55,F,2,High School,Married,Less than $40K,Blue,36,5,1,4,1994.0,1175,819.0,0.794,4455,82,0.547,0.589,Continuing
718686558,50,M,2,Graduate,Married,$120K +,Blue,43,3,2,1,34516.0,1156,33360.0,0.633,3974,65,0.585,0.033,Continuing
715356258,42,F,3,Graduate,Married,Less than $40K,Blue,36,4,2,1,2281.0,1548,733.0,0.739,4384,78,0.857,0.679,Continuing
720941433,53,F,3,High School,Married,Less than $40K,Blue,41,3,3,2,1547.0,0,1547.0,0.845,2312,43,0.303,0.0,Leaving
709888383,47,F,3,Graduate,Married,Less than $40K,Blue,36,3,1,2,3147.0,2453,694.0,0.744,4465,82,0.952,0.779,Continuing
710395233,42,F,2,Graduate,Single,Less than $40K,Silver,36,2,2,3,34516.0,1066,33450.0,0.846,8657,98,0.75,0.031,Continuing
779252283,47,F,4,High School,Married,Less than $40K,Blue,29,6,3,0,2712.0,2411,301.0,0.844,5201,82,0.907,0.889,Continuing
713331408,35,M,3,Uneducated,Married,$40K - $60K,Blue,36,6,2,5,8682.0,1647,7035.0,0.971,1792,36,0.8,0.19,Continuing
818305008,41,F,2,Graduate,Married,$40K - $60K,Blue,36,6,1,3,11239.0,1375,9864.0,0.94,3978,89,0.78,0.122,Continuing
803347908,34,F,1,Graduate,Single,Less than $40K,Gold,28,4,3,2,15987.0,0,15987.0,1.494,2327,65,0.806,0.0,Continuing
716951658,51,F,3,High School,Single,$40K - $60K,Blue,38,5,3,1,5536.0,0,5536.0,0.695,4281,82,0.822,0.0,Continuing
779558733,50,F,4,Graduate,Married,Less than $40K,Silver,36,6,1,2,32156.0,1791,30365.0,0.906,1559,39,1.167,0.056,Continuing
711164508,49,F,1,Graduate,Divorced,Less than $40K,Silver,43,1,3,1,34516.0,1163,33353.0,0.725,3941,71,0.821,0.034,Continuing
714089658,41,M,2,Graduate,Single,$60K - $80K,Blue,36,3,2,1,2238.0,0,2238.0,0.452,2063,42,0.5,0.0,Leaving
809631483,42,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,37,1,1,3,32106.0,0,32106.0,0.678,4452,83,0.729,0.0,Continuing
712879158,49,M,1,High School,Married,$60K - $80K,Gold,36,2,2,3,6224.0,2201,4023.0,0.832,7693,70,0.628,0.354,Continuing
711629733,45,F,2,Graduate,Married,Less than $40K,Blue,34,5,3,1,5371.0,1499,3872.0,0.737,3282,66,0.65,0.279,Continuing
714112383,53,M,2,Graduate,Married,$120K +,Blue,43,6,3,2,5882.0,2335,3547.0,0.579,1380,30,0.667,0.397,Continuing
718811058,40,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,2,5014.0,1887,3127.0,0.806,4391,66,0.571,0.376,Continuing
713592408,43,F,3,High School,Married,Less than $40K,Blue,28,3,3,2,2590.0,0,2590.0,0.63,3391,66,0.833,0.0,Continuing
771304383,45,F,3,High School,Married,Less than $40K,Blue,33,1,2,3,4174.0,2507,1667.0,0.832,7905,86,0.755,0.601,Continuing
773275083,49,F,3,College,Married,Less than $40K,Blue,37,2,3,0,3085.0,966,2119.0,0.777,4765,79,0.646,0.313,Continuing
712326708,42,F,2,Graduate,Married,Less than $40K,Blue,31,6,2,3,2552.0,2220,332.0,0.782,4437,61,1.033,0.87,Continuing
780481308,37,F,3,Graduate,Married,Less than $40K,Blue,24,3,2,2,10584.0,1550,9034.0,0.692,1567,33,0.32,0.146,Continuing
711219333,33,M,1,Post-Graduate,Married,$120K +,Blue,14,6,1,0,7571.0,2264,5307.0,0.696,2273,49,0.485,0.299,Continuing
720470133,59,M,0,Graduate,Single,Less than $40K,Blue,36,5,3,3,3604.0,1483,2121.0,0.597,4576,87,0.706,0.411,Continuing
718021608,45,F,3,Graduate,Married,$40K - $60K,Blue,34,4,5,2,1533.0,728,805.0,0.906,4659,83,0.766,0.475,Continuing
785134758,41,M,2,College,Unknown,$80K - $120K,Blue,24,3,2,4,14320.0,0,14320.0,0.754,4077,77,0.791,0.0,Continuing
